fname,fs,alpha,k
1614988_0_8789868670151796042.csv,1,0.001,1
1614988_0_8789868670151796042.csv,2,0.001,1
1614988_0_8789868670151796042.csv,3,0.003,1
1614988_0_8789868670151796042.csv,4,0.04900000000000004,1
1614988_0_8789868670151796042.csv,5,0.09100000000000007,1
43469354_0_6029017163991310319.csv,1,0.001,1
43469354_0_6029017163991310319.csv,2,0.001,1
43469354_0_6029017163991310319.csv,3,0.005,1
43469354_0_6029017163991310319.csv,4,0.10700000000000008,1
43469354_0_6029017163991310319.csv,5,0.19000000000000014,1
11833461_1_3811022039809817402.csv,1,0.001,1
11833461_1_3811022039809817402.csv,2,0.001,1
11833461_1_3811022039809817402.csv,3,0.001,1
11833461_1_3811022039809817402.csv,4,0.02100000000000001,1
11833461_1_3811022039809817402.csv,5,0.04000000000000003,1
38428277_0_1311643810102462607.csv,1,0.001,1
38428277_0_1311643810102462607.csv,2,0.001,1
38428277_0_1311643810102462607.csv,3,0.025000000000000015,1
38428277_0_1311643810102462607.csv,4,0.24000000000000019,1
38428277_0_1311643810102462607.csv,5,0.3780000000000003,1
54719588_0_8417197176086756912.csv,1,0.001,1
54719588_0_8417197176086756912.csv,2,0.001,1
54719588_0_8417197176086756912.csv,3,0.03000000000000002,1
54719588_0_8417197176086756912.csv,4,0.2850000000000002,1
54719588_0_8417197176086756912.csv,5,0.43400000000000033,1
52208141_2_5171684379987586712.csv,1,0.001,2
52208141_2_5171684379987586712.csv,2,0.001,2
52208141_2_5171684379987586712.csv,3,0.001,1
52208141_2_5171684379987586712.csv,4,0.001,1
52208141_2_5171684379987586712.csv,5,0.001,1
14311244_0_7604843865524657408.csv,1,0.001,1
14311244_0_7604843865524657408.csv,2,0.001,1
14311244_0_7604843865524657408.csv,3,0.002,1
14311244_0_7604843865524657408.csv,4,0.03900000000000003,1
14311244_0_7604843865524657408.csv,5,0.07300000000000005,1
9567241_0_5666388268510912770.csv,1,0.001,2
9567241_0_5666388268510912770.csv,2,0.001,2
9567241_0_5666388268510912770.csv,3,0.001,1
9567241_0_5666388268510912770.csv,4,0.02100000000000001,1
9567241_0_5666388268510912770.csv,5,0.03900000000000003,1
28646774_0_3256889721737611537.csv,1,0.001,1
28646774_0_3256889721737611537.csv,2,0.001,1
28646774_0_3256889721737611537.csv,3,0.001,1
28646774_0_3256889721737611537.csv,4,0.02100000000000001,1
28646774_0_3256889721737611537.csv,5,0.03900000000000003,1
16767252_0_2409448375013995751.csv,1,0.001,1
16767252_0_2409448375013995751.csv,2,0.001,1
16767252_0_2409448375013995751.csv,3,0.02000000000000001,1
16767252_0_2409448375013995751.csv,4,0.19800000000000015,1
16767252_0_2409448375013995751.csv,5,0.32100000000000023,1
24417511_0_3058323105166963431.csv,1,0.001,1
24417511_0_3058323105166963431.csv,2,0.001,1
24417511_0_3058323105166963431.csv,3,0.002,1
24417511_0_3058323105166963431.csv,4,0.035000000000000024,1
24417511_0_3058323105166963431.csv,5,0.06600000000000004,1
86627271_6_2239821927452848323.csv,1,0.001,1
86627271_6_2239821927452848323.csv,2,0.001,1
86627271_6_2239821927452848323.csv,3,0.001,1
86627271_6_2239821927452848323.csv,4,0.001,1
86627271_6_2239821927452848323.csv,5,0.001,1
53583534_0_503521622577229691.csv,1,0.001,1
