fname,fs,alpha,k
21245481_0_8730460088443117515.csv,0,1,0.001,7
21245481_0_8730460088443117515.csv,0,2,0.001,6
21245481_0_8730460088443117515.csv,0,3,0.03100000000000002,5
21245481_0_8730460088443117515.csv,0,4,0.4000000000000003,7
21245481_0_8730460088443117515.csv,0,5,0.5660000000000004,8
53822652_0_5767892317858575530.csv,1,0.02000000000000001,1
53822652_0_5767892317858575530.csv,2,0.03800000000000003,1
53822652_0_5767892317858575530.csv,3,0.16800000000000012,1
53822652_0_5767892317858575530.csv,4,0.3090000000000002,1
53822652_0_5767892317858575530.csv,5,0.4110000000000003,1
39173938_0_7916056990138658530.csv,1,0.001,1
39173938_0_7916056990138658530.csv,2,0.001,1
39173938_0_7916056990138658530.csv,3,0.024000000000000014,1
39173938_0_7916056990138658530.csv,4,0.22300000000000017,1
39173938_0_7916056990138658530.csv,5,0.35500000000000026,1
21362676_0_6854186738074119688.csv,1,0.02000000000000001,1
21362676_0_6854186738074119688.csv,2,0.03800000000000003,1
21362676_0_6854186738074119688.csv,3,0.16800000000000012,1
21362676_0_6854186738074119688.csv,4,0.3130000000000002,1
21362676_0_6854186738074119688.csv,5,0.4150000000000003,1
46671561_0_6122315295162029872.csv,1,1,0.001,2
46671561_0_6122315295162029872.csv,1,2,0.001,2
46671561_0_6122315295162029872.csv,1,3,0.002,2
46671561_0_6122315295162029872.csv,1,4,0.04000000000000003,2
46671561_0_6122315295162029872.csv,1,5,0.07600000000000005,2
80588006_0_6965325215443683359.csv,1,0.001,1
80588006_0_6965325215443683359.csv,2,0.001,1
80588006_0_6965325215443683359.csv,3,0.001,1
80588006_0_6965325215443683359.csv,4,0.014000000000000005,1
80588006_0_6965325215443683359.csv,5,0.026000000000000016,1
22864497_0_8632623712684511496.csv,1,0.001,1
22864497_0_8632623712684511496.csv,2,0.001,1
22864497_0_8632623712684511496.csv,3,0.007,1
22864497_0_8632623712684511496.csv,4,0.07900000000000006,1
22864497_0_8632623712684511496.csv,5,0.1410000000000001,1
53989675_0_8697482470743954630.csv,1,0.001,1
53989675_0_8697482470743954630.csv,2,0.001,1
53989675_0_8697482470743954630.csv,3,0.003,1
53989675_0_8697482470743954630.csv,4,0.05100000000000004,1
53989675_0_8697482470743954630.csv,5,0.09600000000000007,1
66009064_0_9148652238372261251.csv,1,0.001,1
66009064_0_9148652238372261251.csv,2,0.001,1
66009064_0_9148652238372261251.csv,3,0.002,1
66009064_0_9148652238372261251.csv,4,0.04100000000000003,1
66009064_0_9148652238372261251.csv,5,0.07600000000000005,1
50270082_0_444360818941411589.csv,1,0.001,1
50270082_0_444360818941411589.csv,2,0.001,1
50270082_0_444360818941411589.csv,3,0.002,1
50270082_0_444360818941411589.csv,4,0.024000000000000014,1
50270082_0_444360818941411589.csv,5,0.04500000000000003,1
24036779_0_5608105867560183058.csv,1,0.001,1
24036779_0_5608105867560183058.csv,2,0.001,1
24036779_0_5608105867560183058.csv,3,0.004,1
24036779_0_5608105867560183058.csv,4,0.1370000000000001,1
24036779_0_5608105867560183058.csv,5,0.23800000000000018,1
41336118_0_4331895026409635103.csv,1,0.001,1
41336118_0_4331895026409635103.csv,2,0.001,1
41336118_0_4331895026409635103.csv,3,0.009000000000000001,1
41336118_0_4331895026409635103.csv,4,0.09100000000000007,1
41336118_0_4331895026409635103.csv,5,0.1590000000000001,1
69881946_0_1105130426898457358.csv,1,0.02000000000000001,1
69881946_0_1105130426898457358.csv,2,0.03800000000000003,1
69881946_0_1105130426898457358.csv,3,0.16800000000000012,1
69881946_0_1105130426898457358.csv,4,0.3110000000000002,1
69881946_0_1105130426898457358.csv,5,0.4130000000000003,1
54719588_0_8417197176086756912.csv,1,0.001,1
54719588_0_8417197176086756912.csv,2,0.001,1
54719588_0_8417197176086756912.csv,3,0.03000000000000002,1
54719588_0_8417197176086756912.csv,4,0.2850000000000002,1
54719588_0_8417197176086756912.csv,5,0.43400000000000033,1
43237185_1_3636357855502246981.csv,1,0.001,1
43237185_1_3636357855502246981.csv,2,0.002,1
43237185_1_3636357855502246981.csv,3,0.1290000000000001,1
43237185_1_3636357855502246981.csv,2,4,0.06800000000000005,2
43237185_1_3636357855502246981.csv,2,5,0.1210000000000001,2
9834884_0_3871985887467090123.csv,1,0.001,1
9834884_0_3871985887467090123.csv,2,0.001,1
9834884_0_3871985887467090123.csv,3,0.007,1
9834884_0_3871985887467090123.csv,4,0.18500000000000014,1
9834884_0_3871985887467090123.csv,5,0.3090000000000002,1
16767252_0_2409448375013995751.csv,1,0.001,1
16767252_0_2409448375013995751.csv,2,0.001,1
