fname,colid,fsid,from_alpha,to_alpha
98312357_0_6395417306876145729.csv,0,4,0.04600,0.35800
98312357_0_6395417306876145729.csv,0,5,0.08600,0.46400
75154185_0_1607627349983289012.csv,1,1,0.00100,0.00700
75154185_0_1607627349983289012.csv,1,2,0.00100,0.01400
75154185_0_1607627349983289012.csv,1,3,0.01000,0.26700
75154185_0_1607627349983289012.csv,1,4,0.19300,0.60200
75154185_0_1607627349983289012.csv,1,5,0.31800,0.63200
74685423_0_8061289760697103949.csv,0,1,0.00100,0.00800
74685423_0_8061289760697103949.csv,0,2,0.00100,0.01600
74685423_0_8061289760697103949.csv,0,3,0.00100,0.40100
74685423_0_8061289760697103949.csv,0,4,0.01800,0.79100
74685423_0_8061289760697103949.csv,0,5,0.03500,0.87400
4444204_0_951426790527152756.csv,1,1,0.00100,0.00800
4444204_0_951426790527152756.csv,1,2,0.00100,0.01600
4444204_0_951426790527152756.csv,1,3,0.01100,0.30100
4444204_0_951426790527152756.csv,1,4,0.19700,0.60300
4444204_0_951426790527152756.csv,1,5,0.32400,0.61800
39107734_2_2329160387535788734.csv,1,1,-1.00000,-1.00000
39107734_2_2329160387535788734.csv,1,2,0.00100,0.00100
39107734_2_2329160387535788734.csv,1,3,0.00100,0.11600
39107734_2_2329160387535788734.csv,1,4,0.02000,0.49800
39107734_2_2329160387535788734.csv,1,5,0.03800,0.64900
21329809_0_5526008408364682899.csv,1,1,0.00100,0.01000
21329809_0_5526008408364682899.csv,1,2,0.00100,0.02000
21329809_0_5526008408364682899.csv,1,3,0.01200,0.34600
21329809_0_5526008408364682899.csv,1,4,0.20700,0.61400
21329809_0_5526008408364682899.csv,1,5,0.33800,0.60400
8009320_0_5507755752653817624.csv,0,1,0.00100,0.04200
8009320_0_5507755752653817624.csv,0,2,0.00100,0.08100
8009320_0_5507755752653817624.csv,0,3,0.00200,0.65000
8009320_0_5507755752653817624.csv,0,4,0.07700,0.64500
8009320_0_5507755752653817624.csv,0,5,0.14100,0.64000
90723763_0_874013697986950454.csv,1,1,0.00100,0.01700
90723763_0_874013697986950454.csv,1,2,0.00100,0.03400
90723763_0_874013697986950454.csv,1,3,0.01300,0.42700
90723763_0_874013697986950454.csv,1,4,0.12800,0.67800
90723763_0_874013697986950454.csv,1,5,0.21800,0.66000
86297395_0_6919201319699354263.csv,0,1,0.00100,0.10300
86297395_0_6919201319699354263.csv,0,2,0.00100,0.18700
86297395_0_6919201319699354263.csv,0,3,0.00200,0.74900
86297395_0_6919201319699354263.csv,0,4,0.05800,0.74500
86297395_0_6919201319699354263.csv,0,5,0.10800,0.74100
29021592_4_4348860179678308511.csv,0,1,-1.00000,-1.00000
29021592_4_4348860179678308511.csv,0,2,-1.00000,-1.00000
29021592_4_4348860179678308511.csv,0,3,0.00100,0.00200
29021592_4_4348860179678308511.csv,0,4,0.00100,0.05400
29021592_4_4348860179678308511.csv,0,5,0.00100,0.10100
11688006_0_8123036130090004213.csv,1,1,0.00100,0.08300
11688006_0_8123036130090004213.csv,1,2,0.00100,0.15400
11688006_0_8123036130090004213.csv,1,3,0.00200,0.70800
11688006_0_8123036130090004213.csv,1,4,0.06200,0.70300
11688006_0_8123036130090004213.csv,1,5,0.11600,0.69900
25404227_0_2240631045609013057.csv,2,1,-1.00000,-1.00000
25404227_0_2240631045609013057.csv,2,2,-1.00000,-1.00000
25404227_0_2240631045609013057.csv,2,3,-1.00000,-1.00000
25404227_0_2240631045609013057.csv,2,4,-1.00000,-1.00000
25404227_0_2240631045609013057.csv,2,5,-1.00000,-1.00000
37541068_1_1156932518917623732.csv,1,1,0.00100,0.01300
37541068_1_1156932518917623732.csv,1,2,0.00100,0.02600
37541068_1_1156932518917623732.csv,1,3,0.00200,0.39800
37541068_1_1156932518917623732.csv,1,4,0.03400,0.68800
37541068_1_1156932518917623732.csv,1,5,0.06500,0.77100
79327346_0_5787863739697336601.csv,1,1,0.00100,0.06100
79327346_0_5787863739697336601.csv,1,2,0.00100,0.11600
79327346_0_5787863739697336601.csv,1,3,0.00200,0.65800
79327346_0_5787863739697336601.csv,1,4,0.06300,0.69900
79327346_0_5787863739697336601.csv,1,5,0.11700,0.69500
39759273_0_1427898308030295194.csv,1,1,0.00100,0.00600
39759273_0_1427898308030295194.csv,1,2,0.00100,0.01300
39759273_0_1427898308030295194.csv,1,3,0.03500,0.16100
39759273_0_1427898308030295194.csv,1,4,0.30000,0.36500
39759273_0_1427898308030295194.csv,1,5,0.45100,0.49000
14380604_4_3329235705746762392.csv,1,1,0.00100,0.01600
14380604_4_3329235705746762392.csv,1,2,0.00100,0.03200
14380604_4_3329235705746762392.csv,1,3,0.01200,0.41200
14380604_4_3329235705746762392.csv,1,4,0.12000,0.71300
14380604_4_3329235705746762392.csv,1,5,0.20600,0.73400
26310680_0_5150772059999313798.csv,0,1,0.00100,0.06900
26310680_0_5150772059999313798.csv,0,2,0.00100,0.13000
26310680_0_5150772059999313798.csv,0,3,0.00200,0.68600
26310680_0_5150772059999313798.csv,0,4,0.06400,0.69500
26310680_0_5150772059999313798.csv,0,5,0.11900,0.69000
71840765_0_6664391841933033844.csv,0,1,-1.00000,-1.00000
71840765_0_6664391841933033844.csv,0,2,-1.00000,-1.00000
71840765_0_6664391841933033844.csv,0,3,0.00100,0.11400
71840765_0_6664391841933033844.csv,0,4,0.01400,0.55500
71840765_0_6664391841933033844.csv,0,5,0.02700,0.70300
12271141_0_8517913935669973086.csv,0,1,0.00100,0.02900
12271141_0_8517913935669973086.csv,0,2,0.00100,0.05700
12271141_0_8517913935669973086.csv,0,3,0.01100,0.56100
12271141_0_8517913935669973086.csv,0,4,0.10900,0.73500
12271141_0_8517913935669973086.csv,0,5,0.18800,0.71900
29414811_2_4773219892816395776.csv,1,1,0.00100,0.01200
29414811_2_4773219892816395776.csv,1,2,0.00100,0.02400
29414811_2_4773219892816395776.csv,1,3,0.00100,0.26500
29414811_2_4773219892816395776.csv,1,4,0.01600,0.55400
29414811_2_4773219892816395776.csv,1,5,0.03100,0.68000
45073662_0_3179937335063201739.csv,1,1,0.00100,0.00800
45073662_0_3179937335063201739.csv,1,2,0.00100,0.01600
45073662_0_3179937335063201739.csv,1,3,0.00200,0.28300
45073662_0_3179937335063201739.csv,1,4,0.04000,0.62700
45073662_0_3179937335063201739.csv,1,5,0.07600,0.74400
29412826_0_3422707769191426540.csv,0,1,-1.00000,-1.00000
29412826_0_3422707769191426540.csv,0,2,0.00100,0.00100
29412826_0_3422707769191426540.csv,0,3,0.00100,0.14600
