fname,colid,fs,alpha,k
United_States_House_of_Representatives_elections,_1956#Iowa#14.csv,1,5,0.5690000000000004,1
RTC_Transit#5.csv,0,1,0.001,1
RTC_Transit#5.csv,0,2,0.001,1
RTC_Transit#5.csv,0,3,0.001,1
RTC_Transit#5.csv,0,4,0.001,1
RTC_Transit#5.csv,0,5,0.001,1
Lee%E2%80%93Enfield#Ekins_Automatic_Rifle#2.csv,1,1,0.001,1
Lee%E2%80%93Enfield#Ekins_Automatic_Rifle#2.csv,1,2,0.001,1
Lee%E2%80%93Enfield#Ekins_Automatic_Rifle#2.csv,1,3,0.001,1
Lee%E2%80%93Enfield#Ekins_Automatic_Rifle#2.csv,1,4,0.001,1
Lee%E2%80%93Enfield#Ekins_Automatic_Rifle#2.csv,1,5,0.001,1
Gale_Agbossoumonde#0.csv,2,1,0.1490000000000001,15
Gale_Agbossoumonde#0.csv,2,2,0.001,15
Gale_Agbossoumonde#0.csv,2,3,0.001,8
Gale_Agbossoumonde#0.csv,2,4,0.001,8
Gale_Agbossoumonde#0.csv,2,5,0.001,8
2009%E2%80%9310_Airdrie_United_F.C._season#0.csv,1,1,0.001,1
2009%E2%80%9310_Airdrie_United_F.C._season#0.csv,1,2,0.001,1
2009%E2%80%9310_Airdrie_United_F.C._season#0.csv,1,3,0.005,1
2009%E2%80%9310_Airdrie_United_F.C._season#0.csv,1,4,0.059000000000000045,1
2009%E2%80%9310_Airdrie_United_F.C._season#0.csv,1,5,0.10700000000000008,1
Women%27s_Kisei#0.csv,1,1,0.001,1
Women%27s_Kisei#0.csv,1,2,0.001,1
Women%27s_Kisei#0.csv,1,3,0.001,1
Women%27s_Kisei#0.csv,1,4,0.001,1
Women%27s_Kisei#0.csv,1,5,0.001,1
Spark_(Marit_Larsen_album)#1.csv,0,1,0.001,2
Spark_(Marit_Larsen_album)#1.csv,0,2,0.001,2
Spark_(Marit_Larsen_album)#1.csv,0,3,0.001,2
Spark_(Marit_Larsen_album)#1.csv,0,4,0.001,2
Spark_(Marit_Larsen_album)#1.csv,0,5,0.001,2
1933%E2%80%9334_Prima_Divisione#10.csv,1,1,0.001,1
1933%E2%80%9334_Prima_Divisione#10.csv,1,2,0.001,1
1933%E2%80%9334_Prima_Divisione#10.csv,1,3,0.05100000000000004,1
1933%E2%80%9334_Prima_Divisione#10.csv,1,4,0.44700000000000034,1
